id,name,artist_popularity,followers,genre
0219k0EVewiSrrWjZDpUxU,1966カルテット,4,500,
021MfAH9lQ6FWkbkE5FHqW,Rudy Omoibile,1,54,
021OjoRz1hHLv8RyLByqoX,Kay Rok,2,167,
022atNmB8I2tn0RH0QzNz3,West End Ri,1,214,
022OgH2i2KnyvGUzrbmbT7,Jesse Michael,3,78,
022rhQNpycMKkJ5hc5eCh9,Sahil Rahi,10,277,
023qrlb9S51dSIGAoOP2Hr,Alma Micic,1,312,deep vocal jazz
023VqekdUYDUY3erJO3rfR,Carrie King,2,90,
023YJhJlLPOOn0pDUjRtaD,Black Dave,11,3660,underground hip hop
024Qxwxazd53S5JVa2IBdk,Longoria,0,0,
025mF5IaU4FB7x4ReVYp4Y,Thelma Peña,23,2614,mariachi cristiano
025XKAqxtOY2NZTvFSkz3G,Indi,21,360,
026cfb1v6XifVe4poTRAoe,Top Of The Poppers,14,2395,
026tiCqfltpjTf3tIIabR1,As Isaac,11,1850,
026v3mvWdRvVdjL67VBySh,Mike Ryan,46,63719,classic texas country
027TpXKGwdXP7iwbjUSpV8,The Walters,68,594842,chicago indie
02A3cEvlLLCbIMVDrK2GHV,Starley,52,208534,aussietronica
02AiNxltgoexB1plnG0ekj,Nino Bederan,6,201,
02AtvbFWjgaHQQ2d5oXb9X,Cardio GYM Hits,2,20,
02B3Os1lCLuWR6klPJiQpW,Nicola Benedetti,44,30041,violin
02b7274XHgcwNFSIp2OtX4,Joyce Berrios,0,13,
02Bl8I5jXlMRfDSL5swBOm,Fever the Ghost,34,52706,electronic rock
02CSsXlCyOTZgxKnmxweqc,Lo-Fi Luke,41,17068,lo-fi product
02da1vDJ2hWqfK7aJL6SJm,Soul Asylum,53,599251,alternative rock
02ds8He0YeZQopt7bgAIIR,Johnny Henry,0,30,
02dvTJ10rq2GCCk7Y0UvAf,Mauri,14,389,
02DWGcShQivFepRvGJ7xhB,Adriatique,56,235850,deep disco house
02EdAtEpmYVCCp9AHE01V6,Tyler Sowards,8,209,
02EE0dHL89jQuHVSqNF2VO,B'shara,0,178,
02fHczhlgEBCCjzjsNvJAh,LB aka LABAT,30,10484,jazz house
02FiMWmjri1fpKDcQS1e73,Silverado Country Band,11,174,
02fJqHl2bn923RCSLf9GaA,Left Hand Solution,3,1451,gothic doom
02frazNrWgZCxUEf4UTfHt,Van Der Graaf Generator,31,131512,art rock
02FxXsNeSOyCTgWXMabAkV,Galtzagorriak,3,349,euskal reggae
02g9Gf4gRw0qJfSZfLbwin,Los Niños Cantores De Prado,41,5068,cancion infantil latinoamericana
02gf7RKW6ZuRMb6u3fHyko,Mariah Jean,29,2159,
02gYEYnXhiAPbGoCwk0E7M,Soulcry,1,168,
02Gz7Nb7bIi0oxLIXYELYd,The Foxies,26,19119,charlotte nc indie
02H8P4udyEHorfm0zntgfm,Allan Harris,8,2021,
02HDPzt4jfUl4w1YEHeW9P,Jordan Smith,8,479,
02HfWwVkZpAEWY9RwUBTyQ,Soothly,64,7331,
02hulfj7fUNB4VeK425QUy,Lilcole,0,1,
02IP3A7iyO9HrXMmd2gDxk,Young Train,23,730,
02jjSR7T78GCQaUNxkcKBn,D. Damonn,1,61,
